Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
2003,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,14965.0
2003,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,56.0
2003,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,100633.0
2003,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,35104.0
2003,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,35.0
2003,Scotland,,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,7151.0
2003,Scotland,,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,1842.0
2003,Scotland,,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,26.0
2003,Scotland,,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,46284.0
2003,Scotland,,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,19803.0
2003,Scotland,,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,43.0
2003,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,280311.0
2003,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,193893.0
2003,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,69.0
2003,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,997303.0
2003,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,728592.0
2003,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,73.0
2003,Scotland,,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,6976.0
2003,Scotland,,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,145.0
2003,Scotland,,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,2.0
2003,Scotland,,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,49916.0
2003,Scotland,,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,37246.0
2003,Scotland,,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,75.0
2003,Scotland,,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,66650.0
2003,Scotland,,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,9883.0
2003,Scotland,,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,15.0
2003,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1724.0
2003,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,332.0
2003,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,19.0
2007,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,26924.0
2007,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,15159.0
2007,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,56.0
2007,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,100633.0
2007,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,39703.0
2007,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,39.0
2007,Scotland,,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,7151.0
2007,Scotland,,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,1845.0
2007,Scotland,,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,26.0
2007,Scotland,,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,46284.0
2007,Scotland,,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,20481.0
2007,Scotland,,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,44.0
2007,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,280311.0
2007,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,194011.0
2007,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,69.0
2007,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,997303.0
2007,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,742812.0
2007,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,74.0
2007,Scotland,,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,6976.0
2007,Scotland,,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,145.0
2007,Scotland,,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,2.0
2007,Scotland,,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,49916.0
2007,Scotland,,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,39967.0
2007,Scotland,,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,80.0
2007,Scotland,,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,66650.0
2007,Scotland,,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,9901.0
2007,Scotland,,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,15.0
2007,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1724.0
2007,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,332.0
2007,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,19.0
2011,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,26924.0
2011,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,15912.0
2011,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,59.0
2011,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,100633.0
2011,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,40128.0
2011,Scotland,,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,40.0
2011,Scotland,,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,7151.0
2011,Scotland,,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,1871.0
2011,Scotland,,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,26.0
2011,Scotland,,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,46284.0
2011,Scotland,,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,20828.0
2011,Scotland,,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,45.0
2011,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,280311.0
2011,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,231763.0
2011,Scotland,,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,83.0
2011,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,997303.0
2011,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,816173.0
2011,Scotland,,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,82.0
2011,Scotland,,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,6976.0
2011,Scotland,,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,145.0
2011,Scotland,,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,2.0
2011,Scotland,,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,49916.0
2011,Scotland,,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,40949.0
2011,Scotland,,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,82.0
2011,Scotland,,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,66650.0
2011,Scotland,,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,10012.0
2011,Scotland,,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,15.0
2011,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,1724.0
2011,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),S92000003,336.0
2011,Scotland,,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),S92000003,19.0
2015,Scotland,,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),S92000003,26924.0
